# eta f fd fdd g gd y p T rho u
1.503006 0.538671 0.711218 0.381858 2.131921 -0.654384 0.000923 3531.500000 725.279586 0.016960 1534.951166
1.513026 0.545817 0.715029 0.378806 2.125314 -0.664431 0.000930 3531.500000 723.031691 0.017013 1543.175968
1.523046 0.553001 0.718809 0.375739 2.118607 -0.674141 0.000937 3531.500000 720.750123 0.017066 1551.334600
1.533066 0.560222 0.722559 0.372659 2.111805 -0.683516 0.000943 3531.500000 718.436025 0.017121 1559.426765
1.543086 0.567481 0.726278 0.369566 2.104910 -0.692558 0.000950 3531.500000 716.090539 0.017177 1567.452186
1.553106 0.574776 0.729965 0.366462 2.097927 -0.701268 0.000957 3531.500000 713.714796 0.017235 1575.410603
1.563126 0.582109 0.733621 0.363347 2.090858 -0.709649 0.000964 3531.500000 711.309924 0.017293 1583.301777
1.573146 0.589478 0.737247 0.360223 2.083707 -0.717703 0.000971 3531.500000 708.877041 0.017352 1591.125484
1.583166 0.596883 0.740840 0.357089 2.076476 -0.725432 0.000977 3531.500000 706.417258 0.017413 1598.881521
1.593186 0.604325 0.744403 0.353947 2.069170 -0.732838 0.000984 3531.500000 703.931679 0.017474 1606.569701
1.603206 0.611801 0.747933 0.350798 2.061791 -0.739925 0.000991 3531.500000 701.421398 0.017537 1614.189856
1.613226 0.619313 0.751433 0.347642 2.054343 -0.746696 0.000997 3531.500000 698.887498 0.017600 1621.741835
1.623246 0.626860 0.754900 0.344480 2.046828 -0.753152 0.001004 3531.500000 696.331055 0.017665 1629.225506
1.633267 0.634441 0.758336 0.341314 2.039251 -0.759298 0.001011 3531.500000 693.753133 0.017731 1636.640752
1.643287 0.642057 0.761740 0.338143 2.031613 -0.765136 0.001017 3531.500000 691.154786 0.017797 1643.987475
1.653307 0.649707 0.765112 0.334969 2.023918 -0.770670 0.001024 3531.500000 688.537058 0.017865 1651.265594
1.663327 0.657390 0.768453 0.331793 2.016170 -0.775903 0.001030 3531.500000 685.900980 0.017933 1658.475044
1.673347 0.665106 0.771762 0.328614 2.008370 -0.780839 0.001037 3531.500000 683.247571 0.018003 1665.615779
1.683367 0.672856 0.775038 0.325435 2.000523 -0.785481 0.001043 3531.500000 680.577839 0.018074 1672.687766
1.693387 0.680638 0.778283 0.322255 1.992630 -0.789832 0.001050 3531.500000 677.892779 0.018145 1679.690991
1.703407 0.688453 0.781496 0.319075 1.984695 -0.793898 0.001056 3531.500000 675.193375 0.018218 1686.625454
1.713427 0.696299 0.784678 0.315897 1.976721 -0.797681 0.001062 3531.500000 672.480595 0.018291 1693.491174
1.723447 0.704177 0.787827 0.312721 1.968711 -0.801185 0.001069 3531.500000 669.755395 0.018366 1700.288182
1.733467 0.712087 0.790945 0.309547 1.960666 -0.804415 0.001075 3531.500000 667.018718 0.018441 1707.016526
1.743487 0.720028 0.794030 0.306377 1.952591 -0.807375 0.001082 3531.500000 664.271493 0.018517 1713.676270
1.753507 0.727999 0.797084 0.303210 1.944487 -0.810068 0.001088 3531.500000 661.514634 0.018595 1720.267492
1.763527 0.736001 0.800107 0.300048 1.936358 -0.812499 0.001094 3531.500000 658.749042 0.018673 1726.790284
1.773547 0.744034 0.803097 0.296891 1.928206 -0.814673 0.001100 3531.500000 655.975602 0.018752 1733.244753
1.783567 0.752095 0.806056 0.293740 1.920033 -0.816593 0.001107 3531.500000 653.195186 0.018831 1739.631021
1.793587 0.760187 0.808984 0.290596 1.911842 -0.818264 0.001113 3531.500000 650.408650 0.018912 1745.949222
1.803607 0.768307 0.811880 0.287459 1.903636 -0.819691 0.001119 3531.500000 647.616836 0.018994 1752.199506
1.813627 0.776457 0.814745 0.284330 1.895416 -0.820877 0.001125 3531.500000 644.820571 0.019076 1758.382034
1.823647 0.784635 0.817578 0.281209 1.887186 -0.821827 0.001131 3531.500000 642.020665 0.019159 1764.496981
1.833667 0.792841 0.820380 0.278097 1.878947 -0.822546 0.001137 3531.500000 639.217915 0.019243 1770.544535
1.843687 0.801075 0.823151 0.274995 1.870703 -0.823039 0.001143 3531.500000 636.413101 0.019328 1776.524896
1.853707 0.809337 0.825891 0.271903 1.862454 -0.823309 0.001149 3531.500000 633.606989 0.019414 1782.438277
1.863727 0.817626 0.828600 0.268821 1.854204 -0.823362 0.001155 3531.500000 630.800328 0.019500 1788.284902
1.873747 0.825942 0.831278 0.265751 1.845955 -0.823201 0.001161 3531.500000 627.993852 0.019587 1794.065008
1.883768 0.834285 0.833926 0.262692 1.837708 -0.822832 0.001167 3531.500000 625.188281 0.019675 1799.778841
